content,course_link,course_start_date,description,duration,faculty_1_description,faculty_1_designation,faculty_1_name,faculty_2_description,faculty_2_designation,faculty_2_name,fee_in_inr,fee_in_usd,institute,prerequisites,skills,target_students,title,what_you_will_learn
"1. Leading your Business in a Digital Era
2. Technology-enabled Digital Transformation
3. Build Agile Business Through Digital Transformation
4. Strategic Thinking and Tools for Strategic Transformation
5. Innovation for Transformation
6. Best Practices to Overcome ""Failure""",https://talentedge.com/xlri-jamshedpur/executive-development-programme-in-digital-transformation-strategies,,"The integration of digital technology into all areas of a business and fundamentally changing how you operate and deliver value to customers, is known as ""digital transformation."" It is also a cultural shift where organisations need to change the conventional ways, experimenting with digital tools and adpating them. As digital channels are gaining popularity d",,"Dr. Supriya Kumar De is a Professor in Production, Operations and Decision Sciences area. He has been associated with XLRI for over 15 years. Prior to joining XLRI he was associated with IDRBT for 26 months. He has authored papers in Journals like International Journal of Mechanical, Aerospace, Industrial and Mechatronics Engineering, International Journal of Intelligent Systems, International Journal of Computational Intelligence and Applications, Journal of Fuzzy Mathematics to name a few. He has presented papers 9TH International Conference on Knowledge-Based Intelligent Information & Engineering Systems, Australia; 7th International Conference on Enterprise Information Systems, Miami, USA and various other conferences.","M.Sc., Ph.D. (IIT Kharagpur)",Dr. Supriya Kumar De,"Dr. Supriya Kumar De is a Professor in Production, Operations and Decision Sciences area. He has been associated with XLRI for over 15 years. Prior to joining XLRI he was associated with IDRBT for 26 months. He has authored papers in Journals like International Journal of Mechanical, Aerospace, Industrial and Mechatronics Engineering, International Journal of Intelligent Systems, International Journal of Computational Intelligence and Applications, Journal of Fuzzy Mathematics to name a few. He has presented papers 9TH International Conference on Knowledge-Based Intelligent Information & Engineering Systems, Australia; 7th International Conference on Enterprise Information Systems, Miami, USA and various other conferences.","Dean and Professor, Information Systems, XLRI",Dr. Ashis K. Pani,INR 187500 + GST,USD 2800,XLRI Jamshedpur,Graduates must have a minimum of 5 years of work experience. | Post Graduates must have a minimum of 5+ years of work experience., Intrapreneurship  |  People Leadership  |  Design Thinking  |  Digital Strategy Planning  |  Digital Disruption ,"Managers and Senior Managers, CEOs, COOs, CTOs, Business Leaders, Function Heads, Consultants, Entrepreneurs", Executive Development Programme, Building Digital Capability of Organizations  |  Agile methodology for Digital Transformation  |  Creating and implementing Digital and Social strategies  |  Turnaround Strategy for Organizations in Performance Crisis  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Convenient Schedules to Suit Working Professionals 
"1. PHASE - 1 CONCEPTUALIZATION
2. BREAK FOR FIELDWORK – 6 WEEKS
3. PHASE 2 (a) - CONVERSION
4. BREAK FOR FIELDWORK – 4 WEEKS
5. PHASE 2 (b) - CONSOLIDATION",https://talentedge.com/xlri-jamshedpur/digital-human-resource-transformation-analytics-course,,This program from XLRI addresses the explosion of literature around leveraging digital technologies that align to new ways of working at a hybrid workplace (in-person + remote home office) and superior data-driven people analytics. This also includes how organizational psychologists and practitioners can harness the power of Artificial Intelligence and Machine Learning to he,,"Dr. Ashis Kumar Pani is the Dean of XLRI - Xavier School of Management, Jamshedpur, Jharkhand, the oldest B-school in India. Prof. Ashis is a gold medalist in Computer Science from IIT Madras and Ph.D. in Computer Science from IIT Kharagpur. Published and presented several papers in leading journals and international conferences. Current areas of interests are Social Mobile Analytics and Cloud (SMAC), Artificial Intelligence, and Digital Transformation. Presently life member of the Indian Association of Research in Computing (IARCS), Computer Society of India (CSI), and IEEE Computer Society..He has received the IBM best faculty award in 2008, best paper award in International Academy of e-Business in Waikiki, Hawaii, 2009, EURECA project award by European Commission 2009, J.L. Batra best research paper award in AIMS 2010, and Fulbright Fellow in 2018. .He has participated in the international workshop by invitation from UNO, ICTP, Microprocessor Laboratory, Trieste, Italy. He has also participated in the course curriculum design of the e-Business program for the International University of Japan, Negata, Japan.","Dean and Professor, Information Systems, XLRI",Dr. Ashis K. Pani,"Dr. Ashis Kumar Pani is the Dean of XLRI - Xavier School of Management, Jamshedpur, Jharkhand, the oldest B-school in India. Prof. Ashis is a gold medalist in Computer Science from IIT Madras and Ph.D. in Computer Science from IIT Kharagpur. Published and presented several papers in leading journals and international conferences. Current areas of interests are Social Mobile Analytics and Cloud (SMAC), Artificial Intelligence, and Digital Transformation. Presently life member of the Indian Association of Research in Computing (IARCS), Computer Society of India (CSI), and IEEE Computer Society..He has received the IBM best faculty award in 2008, best paper award in International Academy of e-Business in Waikiki, Hawaii, 2009, EURECA project award by European Commission 2009, J.L. Batra best research paper award in AIMS 2010, and Fulbright Fellow in 2018. .He has participated in the international workshop by invitation from UNO, ICTP, Microprocessor Laboratory, Trieste, Italy. He has also participated in the course curriculum design of the e-Business program for the International University of Japan, Negata, Japan.","Visiting Faculty, XLRI",Dr. Suryanarayan G. Iyer,INR 200000 + GST,USD 2445,XLRI Jamshedpur,HR professionals with a minimum of 4+ years of related work experience., Analytical  |  Decision-Making  |  Digital Transformation  |  Talent Management  |  Innovation ,"HR Leaders, HR Business Partners, Generalists, Consultants, Talent Managers, HR Executives who want to gain a deeper understanding of analytics", Executive Development Program, Digital Transformation  |  Artificial Intelligence  |  Machine Learning  |  Human Resource Research Methods  |  Approaches to Recruitment and Selection  |  Digital HR Function  |  Employment Law and Regulations  |  Digital HR and Analytics  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referability  |  Live & Interactive Digital Learning  |  Benefit from Talentedge’s Alumni Network  |  One-on-one Interactions 
"1. Module 1 - Introduction to People Analytics
2. Module 2 - Descriptive Analytics
3. Module 3 - Predictive Analytics
4. Module 4 - Prescriptive Analytics
5. Module 5 - Project",https://talentedge.com/xlri-jamshedpur/certificate-human-resource-analytics-course,,"Data is helping the world advance in many ways, so why shouldn’t it benefit the world of Human Resource Management? This led XLRI Jamshedpur to formulate this futuristic course in Human Resource Analytics.",,"Dr. Gloryson R B Chalil, a Fellow from IIM Bangalore teaches electives such as Strategic HRM, Organizational Change and Development, and other core courses at XLRI. He worked in three different sectors (Agriculture, Manufacturing and IT) as the in-charge of the HR department, and is also involved in various consulting assignments with government and corporate sectors..As one of the pioneers in evidence-based decision making in HR function, Dr. Chalil is offering Management Development Programs in People Analytics at XLRI since 2014. Thousands of HR professionals learned the basics of HR analytics from him through various certification programs, corporate training programs and conferences, and contributing towards a data-based decision making in organizations such as RBI, NTPC, IOC, PowerGrid and various other top private sector firms.","FPM (IIM Bangalore), PGDM (PM&HR) and MLL&LW (Symbiosis)",Prof. Gloryson R B Chalil,,,,INR 150000 + GST,USD 2143,XLRI Jamshedpur,HR professionals with a minimum of  |  of work experience in the field of HR | Non-HR professionals should have a minimum of  |  of overall work experience, People management  |  Analytical skills  |  Communication skills  |  Decision-making skills ,"Senior HR Professionals, Learning and Leadership Development Professionals, HR Executives, Non-HR Professionals with an Analytical Aptitude", Executive Development Program, HR Analytics  |  Data and People management  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Leaders in the Marketing Role
2. Marketing as Strategy
3. Understanding the customer in the digital era
4. Managing existing and new product portfolios
5. Managing New age Sales Force
6. Managing price, Profitability and finances
7. Managing the Go to Market process
8. Digital Marketing
9. Marketing Control & Agile Marketing
10. Mentoring",https://talentedge.com/xlri-jamshedpur/executive-development-programme-in-leadership-in-sales-&-marketing%E2%80%93the-cmo-programme,,"This CMO Programme is a multi-modal, long-term, and unique programme that will enable senior sales and marketing executives to view business in a more holistic light while integrating major management functions. The programme offers a unique blend of theoretical and practical knowledge. It will provide ex",,"Sanjeev has more than 20 years of work experience both in industry and academia. He has conducted training and consulting assignments for more than 50 organizations in the past covering topics across customer satisfaction, sales effectiveness, customer centricity, retailing customer value, etc. His list of clients is spread across FMCG, Media channels, Automobiles, Farm equipment, Fertilizers, Commodities (steel and cement), the Banking sector, Retailing, Public sector companies, government organizations, etc.  He has published extensively in both national and international journals and has many management cases to his credit. He has led the team for research in Sports, Neuro-marketing, and Social media marketing at XLRI. He is the founder of the Behavioral Research lab at XLRI and has undertaken many research projects in the field.","Assistant Professor, XLRI Jamshedpur",Prof. Sanjeev Varshney,"Sanjeev has more than 20 years of work experience both in industry and academia. He has conducted training and consulting assignments for more than 50 organizations in the past covering topics across customer satisfaction, sales effectiveness, customer centricity, retailing customer value, etc. His list of clients is spread across FMCG, Media channels, Automobiles, Farm equipment, Fertilizers, Commodities (steel and cement), the Banking sector, Retailing, Public sector companies, government organizations, etc.  He has published extensively in both national and international journals and has many management cases to his credit. He has led the team for research in Sports, Neuro-marketing, and Social media marketing at XLRI. He is the founder of the Behavioral Research lab at XLRI and has undertaken many research projects in the field.","Associate Professor, XLRI Jamshedpur",Prof. Narasimhan Rajkumar,INR 275000 + GST,USD 3351,XLRI Jamshedpur,Senior Executives with a Minimum of 15 years total work experience of which at least 10 years should be in sales and/or marketing., Decision-making skills  |  Critical thinking  |  Conflict management  |  Problem-solving skills  |  Budgeting ,"Managers with 15 years of experience aspiring for leadership roles in sales and marketing, Professionals working in service providing organizations", Executive Development Programme," Strategies for New Markets  |  Segmentation, Targeting Positioning in the Digital World  |  Developing and Managing new products  |  Territory Management  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals "
"1. Management Fundamentals
2. Supply Chain Strategy
3. Forecasting & Data Analytics (Hands-on Exercises)
4. Supply Chain Design (Hands-on Exercise)
5. Supply Chain Planning
6. Supply Chain Coordination
7. Supplier Relationship Management
8. Sustainable Supply Chains
9. Logistics Management
10. Supply Chain Risk Management
11. Operations Strategy
12. Capstone Project
13. 3 Day In-Campus Immersion Module",https://talentedge.com/iim-kozhikode/supply-chain-strategy-management-course,,"Supply Chain Management has emerged as one of the key areas of management, promising tremendous opportunities for cost optimization and maximizing customer value. In a competitive marketplace, an organization can achieve a competitive edge by working closely with its business partner",,"Prof. Ashutosh Sarkar received his Ph.D. from Indian Institute of Technology Kharagpur and was a Fulbright Visiting Scholar at the Naveen Jindal School of Management, University of Texas. He has extensive experience in executive education and management development programs. His areas of interests include Inventory and Supply Chain Optimization, Application of Stochastic Dynamic Programming in Operations Management Problems, Purchasing and Supply Risk Management. He has received international awards for his research and been cited by the academia extensively. Prof. Sarkar has published in Production and Operations Management (Financial Times list of 50 top management journals), International Journal of Production Economics, Transportation Research: Part E, Journal of Purchasing and Supply Management, Computers & Industrial Engineering etc.","PhD IIT Kharagpur, M. Tech IIT Kharagpur",Prof. Ashutosh Sarkar,"Prof. Ashutosh Sarkar received his Ph.D. from Indian Institute of Technology Kharagpur and was a Fulbright Visiting Scholar at the Naveen Jindal School of Management, University of Texas. He has extensive experience in executive education and management development programs. His areas of interests include Inventory and Supply Chain Optimization, Application of Stochastic Dynamic Programming in Operations Management Problems, Purchasing and Supply Risk Management. He has received international awards for his research and been cited by the academia extensively. Prof. Sarkar has published in Production and Operations Management (Financial Times list of 50 top management journals), International Journal of Production Economics, Transportation Research: Part E, Journal of Purchasing and Supply Management, Computers & Industrial Engineering etc.","Ph.D. IIM C, PGDM IMT Ghaziabad",Prof. Arqum Mateen,INR 180000 + GST,USD 3600,IIM Kozhikode,Minimum of 2 years of work experience, Technical Understanding  |  Cost Accounting Skills  |  Troubleshooting  |  Problem Solving  |  Business Ethics  |  Project Management  |  Logical Thinking  |  Leadership  |  Time Management ,"Managers, Supply Chain Professionals, Young Executives aspiring for a career in Supply Chain", Professional Certificate Program, Supply Chain Management  |  Supply Chain Risk Management  |  Sales and Operation Planning  |  Logistics and Warehouse Management  |  Global Supply Chain  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Introduction to Strategic Management & Industry Analysis
2. Internal Analysis: Resource-Based Strategy
3. Competitive Strategies
4. Corporate Strategies & Globalization
5. Corporate Restructuring & Corporate Governance
6. Managing Innovation & Entrepreneurship
7. Corporate Sustainability
8. Public Policy & Non-market Strategy",https://talentedge.com/xlri-jamshedpur/executive-development-program-strategic-management-course,,"Strategic management is no longer the prerogative of top management or corporate headquarter. Middle-level managers play a crucial role in the process of organizational decision-making. Though they heavily contribute to the strategic decision-making process, which defines the path and the pace of the organization, many middle-level managers are not fully aware of the various",,"Apalak Khatua is an Associate Professor in the Strategic Management area at the XLRI–Jamshedpur. He received his doctorate from IIM Calcutta, India. He teaches subjects such as Strategic Management, Corporate Strategy, International Business, Managing Innovation, and Blue Ocean Strategy. He has also taught in various executive programs for Public and Private Sector Companies. Before joining the doctoral program Apalak did his graduation from IIEST, Shibpur (formerly B. E. College), and he has also worked as an architect.",Program Director,Prof. Apalak Khatua,"Apalak Khatua is an Associate Professor in the Strategic Management area at the XLRI–Jamshedpur. He received his doctorate from IIM Calcutta, India. He teaches subjects such as Strategic Management, Corporate Strategy, International Business, Managing Innovation, and Blue Ocean Strategy. He has also taught in various executive programs for Public and Private Sector Companies. Before joining the doctoral program Apalak did his graduation from IIEST, Shibpur (formerly B. E. College), and he has also worked as an architect.","Fellow (IRMA), M Phil Economics (CESS Hyderabad), PGDRM (IRMA), BE Civil (NIT Raipur)",Prof. Manoj T Thomas,INR 110000 + GST,USD 2080,XLRI Jamshedpur,Working professionals with a minimum of 4 years of work experience., Strategic decision-making  |  Resilience skills  |  Innovation skills  |  Entrepreneurial skills ,"Business Executives, Mid-level Executives, Young Executives aspiring for decision-making roles", Executive Development Program, Nature and dynamics of the strategy formulation and implementation processes  |  Conducting a credible business analysis from holistic and multi-functional perspectives  |  The relevance of macro-level factors such as globalization or policy reforms for sustainable growth  |  Strategic issues arising in businesses and design appropriate course of action  |  Tools and frameworks used in Strategic Management  |  Business and corporate-level strategies  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Mindful Leadership Module
2. Engendering the Growth Mindset for Personal Excellence
3. The Leadership Essentials
4. The Journey to Transformational Leadership
5. Leadership for Competitive Advantage
6. Elements of Outstanding Leadership: Insights from the Indian experience
7. Leveraging Swadharma, Swabhava, and Karma Yoga for exceptional outcomes
8. Stress Resilience for Exceptional Results
9. The Emotional Dynamics of People-Mastery
10. Embedding Motivation & Inspiration
11. Counseling for nurturing connections - Exploration, Insight, and Action
12. Overcoming Communication Challenges
13. Using Power, Exercising Influence
14. Assessing Political Capital for leading well
15. Lessons from Behavioral Sciences
16. Crafting Corporate Cultures for sustained results
17. Coaching conversations for development
18. Celebrating Leadership
19. On-campus Sessions",https://talentedge.com/xlri-jamshedpur/executive-development-program-transformational-leadership,,"A senior corporate executive must be a ""force-multiplier"" in today's fast-paced business environment. To achieve this, it is crucial for the executive to remain grounded and in control while leading oneself, the team, and the organization to greater heights of accomplishment and performance.",,"B. E. (Mechanical), PGDM (Finance), Fellow (Ph.D.), IIM Calcutta.An eclectic profile with qualifications in mechanical engineering, finance, general management, organizational behavior, and sociology, along with having field experience in anthropology, archaeology, journalism, and yoga for sadhana and therapy. .Dr. Manish Singhal has work experience in chemical plant maintenance (J K Synthetics, Jhalawar), event management, administration, teaching, and training in holistic personality development and various management functions and skills. In particular, he has six years of full-time experience as a selfless missionary dedicated to ‘Man-making & Nation-building’ and has provided the breadth of experience to face various human challenges and encourage the move towards actualizing one’s potential..At XLRI, over the last 17+ years, he has taught MBA courses on INDIVIDUAL BEHAVIOR, MANAGERIAL COUNSELING, NEGOTIATIONS, GROUP BEHAVIOR & LEADERSHIP, and the individual-, the group-, and organization-level issues that underlie Leadership effectiveness. .Dr. Manish has guided Ph.D. students in their theses on Leadership emergence; Moral & Spiritual Leadership; Mentoring processes and outcomes; and The Role of Spousal Network Overlap in Networks in Organizations..As a renowned trainer, Manish has designed and directed several successful open-enrollment Management Development Programs at XLRI on a range of themes, including “Leadership Excellence through Self-Discovery”; “Emotional Intelligence & Interpersonal Skills”; “Business Acumen for Leadership Excellence”; “Interpersonal Effectiveness through Communication Skills”; “Managerial Effectiveness through Self Awareness”; “Beyond Coping: Thriving under Stress in the Workplace” and “Leading Teams to Synergy.” His services have been availed by corporates across sectors and hierarchies for upgrading and transforming their talent pipelines.. ","B. E. (Mechanical), PGDM (Finance), Fellow (PhD), IIM Calcutta",Dr. Manish Singhal,,,,INR 275000 + GST,USD 5500,XLRI Jamshedpur,"Working professionals with a minimum of 15 years of work experience (as of 15th Nov, 2023) | A keen desire to introspect and look within to seek answers for internal and external challenges.", Leadership skills  |  Stress resilience  |  Mastering Psychology  |  Counselling  |  Decision-making  |  Managing conflicts ,"Mid to Senior Leaders, CXOs with Cross-functional Responsibilities, Function and Department Heads, Business Unit Heads", Executive Development Program, Mindful leadership  |  Growth mindset in leadership  |  The emotional dynamics for mastering psychology  |  Power of influence  |  Crafting corporate culture for sustained results  |  Indian Insights on Outstanding Transformational Leadership  |  Behavioral sciences  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Economy & Business in Digital Age
2. People Management & Transformational Leadership
3. Financial Management
4. Marketing Management
5. Digital Transformation of Business
6. Operations Management & SCM
7. Data Analytics for Business Decisions
8. Strategic Business Decisions and Management
9. Capstone Project",https://talentedge.com/iim-lucknow/executive-program-in-business-management,,"The Executive Program in Business Management, from IIM Lucknow, seeks to help working professionals develop capabilities that will enable them to make effective managerial decisions and overcome future business challenges. The course focuses on dev",,"Professor Rajesh K Aithal has been teaching Marketing at IIM Lucknow since 2006. His research areas include rural distribution & retail, small retail issues, rural tourism, and informal markets. A fellow of the Institute of Rural Management Anand (IRMA), Professor Rajesh teaches sales & distribution and BOP and rural markets. His research work has been published in several journals like the  International Journal of Retail & Distribution and the Asian Case Research Journal in the recent past.","Professor - Marketing, Fellow (IRMA), MBA",Prof Rajesh K Aithal,"Professor Rajesh K Aithal has been teaching Marketing at IIM Lucknow since 2006. His research areas include rural distribution & retail, small retail issues, rural tourism, and informal markets. A fellow of the Institute of Rural Management Anand (IRMA), Professor Rajesh teaches sales & distribution and BOP and rural markets. His research work has been published in several journals like the  International Journal of Retail & Distribution and the Asian Case Research Journal in the recent past.",Assistant Professor - Operations Management,Prof. Himanshu Rathore,INR 276500 + GST,USD 4585,IIM Lucknow,Working professionals with a minimum of 8 years of work experience., Technical understanding  |  Troubleshooting  |  People Management  |  Budgeting  |  Analytical skills  |  Problem solving  |  Business ethics  |  Decision-making  |  Logical thinking  |  Leadership  |  Time Management ,"Professionals handling Key Management Roles, Mid-level Managers aspiring for Senior Leadership Roles, Senior-level Executives aspiring for C-Suite Roles", Executive Program, Contemporary issues in management  |  Business Analytics  |  Digital Business Environment  |  People Management  |  Managing Finances in Business  |  Factors influencing Decision-making  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Module 1 : Business Analytics Foundation
2. Module 2 : Business Analytics Techniques
3. Module 3 : Business Analytics Applications
4. Capstone Project",https://talentedge.com/iim-kozhikode/professional-certificate-program-in-business-analytics,,"Thomas Devonport in his book titled, “Competing on analytics: The new science of winning”, claims that a significant proportion of high-performance companies have high analytical skills among their personnel. The rise of business analytics has resulted in gre",,"Former Doctoral Fellow Member of Royal Statistical Society, London, Commonwealth Academic Fellow to London Business School, UK, Visiting Researcher to Syracuse University, USA, PhD (ICFAI University with one year visiting program at Syracuse University, USA), MBA (Gold Medalist, IISWBM, University of Calcutta), BE (National Institute of Technology, Durgapur). Prof. Atanu Adhikari is Professor in the area of Marketing Management at IIM Kozhikode. He has co-authored several books and research papers published by leading international publishers. Professor Adhikari has also published many management case studies that are published and distributed by Ivey Publishing and Harvard Business Publishing.","Ph.D., MBA, BE, IIM Kozhikode",Prof. Atanu Adhikari,"Former Doctoral Fellow Member of Royal Statistical Society, London, Commonwealth Academic Fellow to London Business School, UK, Visiting Researcher to Syracuse University, USA, PhD (ICFAI University with one year visiting program at Syracuse University, USA), MBA (Gold Medalist, IISWBM, University of Calcutta), BE (National Institute of Technology, Durgapur). Prof. Atanu Adhikari is Professor in the area of Marketing Management at IIM Kozhikode. He has co-authored several books and research papers published by leading international publishers. Professor Adhikari has also published many management case studies that are published and distributed by Ivey Publishing and Harvard Business Publishing.","Ph.D. in Statistics (University of Calcutta), MSc in Statistics (University of Calcutta)",Prof. Shovan Chowdhury,INR 100000 + GST,USD 2100,IIM Kozhikode,"Knowledge or familiarity with basic statistics, analytics and statistical software will be useful but not mandatory for the Program.Applicants with no prior exposure to statistics should review the fundamental concepts of statistics prior to beginning the programme. | Pre-readings will be circulated and an introductory run on elementary concepts will be introduced in initial sessions of this program. Participants are expected to go through the pre-reads and come prepared for the classes as instructed.", Analytical & Problem Solving skills  |  Predictive model building  |  Data Processing  |  Exploratory data analysis  |  Statistical inference  |  Marketing Management and CRM ,"Mid-level Managers, Analysts, Entry-level Managers, Domain Specialist", Professional Certificate Programme, Critical concepts of business analytics and research  |  Statistical and machine learning techniques  |  Advanced analytics techniques  |  Customer and Retail analytics  |  Applications of Business Analytics in Decision-Making  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled  |  Options for Loan Assistance 
"1. Course 1: Demystifying Financial Statements
2. Course 2: Financial Analysis
3. Course 3: Cost Concepts & Analysis
4. Course 4: Corporate Finance 1
5. Course 5: Corporate Finance 2
6. Course 6: Budgetary Control
7. Course 7: Financial Markets
8. Course 8: Fintech
9. Capstone Project",https://talentedge.com/iim-lucknow/certificate-programme-in-finance-for-non-finance-executives,,"The program aims to provide professionals, particularly those in functional decision-making roles such as sales, marketing, human resources, operations, production, and first-generation entrepreneurs, with a comprehensive understanding of essential financial accounting and financial management concepts. It is designed to be easily comprehensible, allowing participants to mak",,"Dr. Ajay K. Garg is a Professor of Finance and Accounting at the Indian Institute of Management, Lucknow. Before joining IIM Lucknow in July 2007, he served as an Associate Professor at the University Business School, Panjab University, Chandigarh. Prof. Garg has completed his FPM (Finance & Control) from the Indian Institute of Management Bangalore, his MBA (Finance) from the University Business School, Panjab University, Chandigarh, and his B.Com. (Hons) from the University of Delhi. He teaches Corporate Finance, Financial Reporting and analysis, and Corporate Valuation and Restructuring at the IIM Lucknow, and his research interests lie in Earnings Management, Public issues, and value-creating restructuring strategies.","Program Director, Professor - Finance & Accounting IIM Lucknow",Prof Ajay Garg,"Dr. Ajay K. Garg is a Professor of Finance and Accounting at the Indian Institute of Management, Lucknow. Before joining IIM Lucknow in July 2007, he served as an Associate Professor at the University Business School, Panjab University, Chandigarh. Prof. Garg has completed his FPM (Finance & Control) from the Indian Institute of Management Bangalore, his MBA (Finance) from the University Business School, Panjab University, Chandigarh, and his B.Com. (Hons) from the University of Delhi. He teaches Corporate Finance, Financial Reporting and analysis, and Corporate Valuation and Restructuring at the IIM Lucknow, and his research interests lie in Earnings Management, Public issues, and value-creating restructuring strategies.","Professor, Finance and Accounting",Seshadev Sahoo,INR 120000 + GST,USD 1525,IIM Lucknow,1 year of work experience, Budgeting  |  Analytical Skills  |  Financial Planning  |  Critical-thinking  |  Decision-making ,"New managers, Middle and Senior level managers, Technical executives and managers, Entrepreneurs & Business owners", Certificate Programme, Working Capital Management  |  Blockchain & Crypto  |  Profitability Ratios  |  Types of Financial Statements  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Knowing self
2. Dealing with people at workplace
3. Organization strategy making, diagnosis and design
4. Managing change at workplace",https://talentedge.com/xlri-jamshedpur/leadership-change-management-course,,"The pace of change in organisations has increased manifold in recent times. Improvement in processes, structures, and systems is often being attempted to achieve better efficiency and effectiveness. However, it is known that most change initiatives fail to achieve their desired objectives. One of the reasons for the failu",,"Dr. Rahul Chandra Sheel is a faculty member of the Organisational Behavior Area at XLRI and is also currently serving as the chairperson of the area. He holds a Ph.D. in Organizational Behaviour from the Indian Institute of Management Ahmedabad (IIMA). His academic expertise lies in the fields of Organisational Development and Change, as well as Organisational Structure and Design. He is a member of the Organizational Design Community, Academy of Management, USA and European Academy of Management..He supports organizations by designing learning initiatives focused on Organization Design and Organization Development for senior leadership. He coordinates a Leadership and Change Management MDP program for senior managers, having successfully trained over 1000 executives across nine batches. These executives have an average of 16 years of work experience. Additionally, he has conducted training sessions for executives from renowned companies such as Coca-Cola India, NTPC, PowerGrid, NPCIL, NHPC, JSW, ONGC, Indian Oil, HAL, Tata Steel, Tata Capital, Mahindra, L&T, Novo Nordisk, Asian Paints, and others through various in-company programs..Alongside his teaching responsibilities, Dr. Sheel contributes to the academic community by publishing his research in esteemed international and national journals. He also presents his work at various international conferences. His research interests encompass a broad range of topics, including organisational change, organisational cynicism, meaningful work, customer mistreatment, and others. He has published in journals such as International Journal of Human Resource Management and Organisational Psychology Review.","Fellow, IIM Ahmedabad",Dr. Rahul Chandra Sheel,,,,INR 120000 + GST,USD 2000,XLRI Jamshedpur,A minimum of 3 years of work experience is required., Leadership skills  |  Decision-making  |  Communication  |  People Management  |  Strategy making ,"Managers, Decision-Makers, Division/Department Heads, Mid to Senior level Managers, Line Managers", Executive Development Program, Self-awareness and Self-management  |  Organizational Strategy  |  Managing  Change at workplace  |  Ethical leadership  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
